OrderId,Status,Référence,Origin
SPK_SPKSO_PREPROD_2510914,Creating,501187586,WebService
SPK_SPKSO_PREPROD_2510913,Creating,501187585,WebService
SPK_SPKSO_PREPROD_2510911,Creating,501187583,WebService
TE_Ramas_joff09,Deliver,Ramas_joff09,WebService
TE_Ramas_joff08,Deliver,Ramas_joff08,WebService
TE_Ramas_joff07,Deliver,Ramas_joff07,WebService
TE_Ramas_joff06,Deliver,Ramas_joff06,WebService
TE_Ramas_joff05,Deliver,Ramas_joff05,WebService
SPK_SPKSO_PREPROD_2510909,Creating,501187581,WebService
SPK_SPKSO_PREPROD_2510908,Creating,501187580,WebService
SPK_SPKSO_PREPROD_2510907,Creating,501187579,WebService
SPK_SPKSO_PREPROD_2510906,Creating,501187578,WebService
TE_MOD011_SFER01,Deliver,MOD011_SFER01,WebService
SPK_SPKSO_PREPROD_2510903,Creating,1400032021,WebService
TE_Ramas_joff04,Deliver,Ramas_joff04,WebService
TE_Ramas_joff03,Deliver,Ramas_joff03,WebService
TE_Ramas_joff02,Deliver,Ramas_joff02,WebService
TE_Ramas_joff01,Deliver,Ramas_joff01,WebService
SPK_SPKSO_PREPROD_2510898,Creating,501187572,WebService
SPK_SPKSO_PREPROD_2510897,Creating,501187571,WebService
SPK_SPKSO_PREPROD_2510896,Creating,501187570,WebService
SPK_SPKSO_PREPROD_2510893,Creating,501187567,WebService
SPK_SPKSO_PREPROD_2510891,Creating,501187565,WebService
SPK_SPKSO_PREPROD_2510888,Creating,501187562,WebService
SPK_SPKSO_PREPROD_2510877,Creating,800379493,WebService
SPK_SPKSO_PREPROD_2510876,Creating,501187551,WebService
SPK_SPKSO_PREPROD_2510873,Creating,800379492,WebService
SPK_SPKSO_PREPROD_2510872,Creating,501187548,WebService
SPK_SPKSO_PREPROD_2510867,Creating,800379491,WebService
SPK_SPKSO_PREPROD_2510866,Creating,800379490,WebService
SPK_SPKSO_PREPROD_2510865,Creating,501187543,WebService
SPK_SPKSO_PREPROD_2510860,Creating,800379489,WebService
SPK_SPKSO_PREPROD_2510857,Creating,501187536,WebService
SPK_SPKSO_PREPROD_2510856,Creating,800379488,WebService
SPK_SPKSO_PREPROD_2510855,Creating,501187535,WebService
SPK_SPKSO_PREPROD_2510854,Creating,501187534,WebService
SPK_SPKSO_PREPROD_2510853,Creating,501187533,WebService
SPK_SPKSO_PREPROD_2510852,Creating,501187532,WebService
SPK_SPKSO_PREPROD_2510851,Creating,501187531,WebService
SPK_SPKSO_PREPROD_2510850,Creating,501187530,WebService
SPK_SPKSO_PREPROD_2510849,Creating,501187529,WebService
SPK_SPKSO_PREPROD_2510848,Creating,501187528,WebService
SPK_SPKSO_PREPROD_2510842,Creating,501187522,WebService
SPK_SPKSO_PREPROD_2510837,Creating,501187517,WebService
SPK_SPKSO_PREPROD_2510836,Creating,501187516,WebService
SPK_SPKSO_PREPROD_2510833,Creating,501187513,WebService
SPK_SPKSO_PREPROD_2510832,Creating,501187512,WebService
SPK_SPKSO_PREPROD_2510831,Creating,501187511,WebService
SPK_SPKSO_PREPROD_2510824,Creating,800379488,WebService
SPK_SPKSO_PREPROD_2510823,Creating,800379487,WebService
SPK_SPKSO_PREPROD_2510820,Creating,501187500,WebService
SPK_SPKSO_3012844,Creating,800499146,WebService
